arch,condition,seed,task,rho,wd,step,step_req,grok_step,basis,side,mode,energy_share,rank,dc_share
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,12,0.013423716878912554,16,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,13,0.014250842756436755,10,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,14,0.011962397594218419,22,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,15,0.01005404476391452,44,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,16,0.011020257588061804,29,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,17,0.00926037504531289,56,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,18,0.01029304975574326,42,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,19,0.026946777356929283,4,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,20,0.009380068654675375,55,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,21,0.008595377147523033,72,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,22,0.009186546228112994,61,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,23,0.013461124250996567,15,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,24,0.011758908183882043,24,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,25,0.008810333533717777,68,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,26,0.01099254456902498,30,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,27,0.009953346417959764,45,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,28,0.009875184768159488,46,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,29,0.012204441872188346,21,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,30,0.008834547178111102,67,0.004056284922439116
